Text Content,Image Content,Video Content,"User Metadata (Age, Gender, Location)","Engagement Metrics (Likes, Shares, Comments)",Timestamp,"Interaction Network (Friends, Followers)",Sentiment Score,Text Length,"Image Features (Object, Color)","Video Features (Action, Duration)",Content Type,Interaction Type (Language),Reported Flag,Reporting Frequency
Why don't you go away?,Insulting meme,Harassment video,"16, Female, XYZ city","70, 47, 20",2024-03-15 09:01:40.292090,"334, 915",-0.54,185,"Pointing Finger, Black","Threatening, 5 seconds",Message,French,No,2
You are a loser!,Cyberbullying cartoon,Harassment video,"14, Male, XYZ city","83, 27, 31",2023-09-12 09:01:40.292094,"221, 1519",-0.58,48,"Gun, Green","Kicking, 13 seconds",Comment,German,No,9
You are a loser!,Cyberbullying cartoon,Harassment video,"17, Female, XYZ city","128, 36, 32",2024-05-24 09:01:40.292099,"214, 1431",-0.89,141,"Gun, Green","Punching, 8 seconds",Post,English,Yes,1
You are a loser!,Offensive gesture,Harassment video,"17, Non-binary, XYZ city","137, 64, 28",2023-08-06 09:01:40.292104,"261, 1757",-0.88,39,"Gun, Black","Verbal Abuse, 7 seconds",Comment,German,Yes,7
Why don't you go away?,Violent image,Harassment video,"14, Male, XYZ city","118, 51, 10",2023-06-20 09:01:40.292108,"127, 1534",-0.74,167,"Middle Finger, Green","Punching, 5 seconds",Comment,French,Yes,4
Why don't you go away?,Offensive gesture,Harassment video,"14, Male, XYZ city","136, 27, 22",2024-01-10 09:01:40.292113,"305, 746",-0.61,31,"Middle Finger, Black","Kicking, 5 seconds",Message,English,No,5
Why don't you go away?,Offensive gesture,Intimidation video,"14, Male, XYZ city","136, 62, 10",2023-09-26 09:01:40.292117,"146, 1257",-0.98,75,"Gun, Dark Blue","Kicking, 14 seconds",Post,German,Yes,5
I hate you so much!,Insulting meme,Intimidation video,"17, Male, XYZ city","158, 70, 33",2024-02-25 09:01:40.292122,"226, 646",-0.65,117,"Middle Finger, Dark Blue","Kicking, 6 seconds",Comment,German,No,1
Why don't you go away?,Insulting meme,Intimidation video,"14, Non-binary, XYZ city","66, 24, 29",2023-09-01 09:01:40.292126,"217, 1905",-0.68,21,"Middle Finger, Black","Verbal Abuse, 4 seconds",Message,Spanish,No,6
Why don't you go away?,Offensive gesture,Intimidation video,"17, Female, XYZ city","70, 77, 40",2024-04-14 09:01:40.292131,"251, 862",-0.88,45,"Gun, Black","Threatening, 10 seconds",Message,English,No,9
Why don't you go away?,Cyberbullying cartoon,Harassment video,"17, Non-binary, XYZ city","159, 30, 24",2024-02-08 09:01:40.292135,"236, 1698",-0.66,27,"Knife, Red","Threatening, 11 seconds",Post,German,No,2
I hate you so much!,Insulting meme,Verbal abuse video,"13, Non-binary, XYZ city","184, 47, 14",2023-06-24 09:01:40.292140,"388, 1457",-0.53,99,"Gun, Dark Blue","Verbal Abuse, 14 seconds",Comment,German,No,7
Why don't you go away?,Violent image,Bullying act,"15, Female, XYZ city","54, 27, 19",2023-09-13 09:01:40.292144,"118, 694",-0.98,190,"Pointing Finger, Dark Blue","Kicking, 6 seconds",Comment,Spanish,Yes,6
You are a loser!,Insulting meme,Harassment video,"16, Male, XYZ city","87, 27, 49",2024-02-26 09:01:40.292149,"429, 674",-0.84,10,"Knife, Dark Blue","Punching, 5 seconds",Comment,German,Yes,5
Why don't you go away?,Insulting meme,Bullying act,"13, Male, XYZ city","122, 85, 24",2023-08-18 09:01:40.292153,"453, 640",-0.78,136,"Pointing Finger, Green","Punching, 7 seconds",Message,German,No,4
You are a loser!,Violent image,Verbal abuse video,"14, Male, XYZ city","98, 55, 13",2023-10-11 09:01:40.292158,"345, 1429",-0.55,195,"Pointing Finger, Red","Kicking, 13 seconds",Post,German,No,4
You are a loser!,Offensive gesture,Intimidation video,"13, Female, XYZ city","127, 60, 34",2023-07-12 09:01:40.292162,"192, 738",-0.52,99,"Knife, Red","Verbal Abuse, 11 seconds",Post,Spanish,Yes,6
You are a loser!,Violent image,Verbal abuse video,"17, Female, XYZ city","171, 81, 19",2023-10-09 09:01:40.292167,"304, 1059",-0.78,96,"Gun, Green","Verbal Abuse, 4 seconds",Comment,German,Yes,4
I hate you so much!,Offensive gesture,Harassment video,"14, Female, XYZ city","198, 55, 21",2024-06-04 09:01:40.292172,"344, 1331",-0.62,99,"Middle Finger, Dark Blue","Punching, 6 seconds",Message,German,No,5
I hate you so much!,Offensive gesture,Intimidation video,"14, Female, XYZ city","140, 21, 22",2024-01-23 09:01:40.292176,"416, 1424",-0.73,143,"Gun, Red","Punching, 11 seconds",Comment,English,No,6
I hate you so much!,Offensive gesture,Harassment video,"15, Male, XYZ city","144, 35, 41",2023-06-16 09:01:40.292180,"394, 1139",-0.73,79,"Knife, Green","Verbal Abuse, 4 seconds",Post,English,Yes,5
Why don't you go away?,Violent image,Intimidation video,"15, Male, XYZ city","81, 30, 19",2024-06-04 09:01:40.292185,"443, 1805",-0.86,53,"Gun, Green","Verbal Abuse, 14 seconds",Message,Spanish,Yes,7
You are a loser!,Offensive gesture,Bullying act,"16, Non-binary, XYZ city","64, 36, 49",2023-06-26 09:01:40.292190,"116, 570",-0.89,161,"Middle Finger, Red","Kicking, 14 seconds",Comment,French,No,9
I hate you so much!,Cyberbullying cartoon,Bullying act,"14, Male, XYZ city","195, 74, 18",2024-03-10 09:01:40.292195,"368, 1848",-0.86,95,"Middle Finger, Black","Threatening, 7 seconds",Comment,English,Yes,7
I hate you so much!,Violent image,Bullying act,"17, Non-binary, XYZ city","108, 97, 34",2023-07-27 09:01:40.292199,"381, 804",-0.72,28,"Pointing Finger, Red","Kicking, 12 seconds",Message,Spanish,Yes,7
Why don't you go away?,Cyberbullying cartoon,Verbal abuse video,"15, Male, XYZ city","163, 41, 39",2024-05-04 09:01:40.292204,"106, 1837",-0.99,110,"Knife, Green","Punching, 9 seconds",Post,German,No,4
I hate you so much!,Offensive gesture,Harassment video,"15, Non-binary, XYZ city","81, 70, 30",2024-03-23 09:01:40.292208,"404, 1626",-0.55,155,"Gun, Dark Blue","Threatening, 12 seconds",Message,German,No,1
Why don't you go away?,Insulting meme,Verbal abuse video,"15, Female, XYZ city","171, 51, 39",2023-12-08 09:01:40.292213,"408, 692",-0.92,104,"Middle Finger, Green","Punching, 13 seconds",Comment,Spanish,No,8
You are so dumb!,Offensive gesture,Bullying act,"14, Non-binary, XYZ city","168, 58, 21",2024-03-20 09:01:40.292217,"340, 1028",-0.89,110,"Gun, Red","Verbal Abuse, 10 seconds",Comment,German,Yes,4
I hate you so much!,Cyberbullying cartoon,Harassment video,"17, Male, XYZ city","67, 40, 22",2024-03-16 09:01:40.292222,"270, 750",-0.74,39,"Knife, Green","Verbal Abuse, 12 seconds",Comment,German,No,1
You are so dumb!,Cyberbullying cartoon,Bullying act,"14, Non-binary, XYZ city","198, 27, 49",2023-10-14 09:01:40.292226,"352, 1910",-0.64,179,"Knife, Dark Blue","Kicking, 9 seconds",Comment,French,Yes,5
Why don't you go away?,Violent image,Verbal abuse video,"16, Non-binary, XYZ city","184, 42, 41",2023-07-06 09:01:40.292230,"306, 1040",-0.95,42,"Gun, Red","Kicking, 3 seconds",Post,German,No,8
You are a loser!,Insulting meme,Verbal abuse video,"15, Non-binary, XYZ city","135, 41, 34",2024-03-11 09:01:40.292235,"216, 915",-0.84,21,"Pointing Finger, Red","Kicking, 8 seconds",Post,English,No,4
I hate you so much!,Violent image,Verbal abuse video,"13, Female, XYZ city","71, 48, 22",2024-03-18 09:01:40.292239,"381, 1903",-0.52,127,"Knife, Red","Verbal Abuse, 8 seconds",Comment,German,Yes,8
Why don't you go away?,Cyberbullying cartoon,Bullying act,"15, Male, XYZ city","51, 48, 30",2024-04-29 09:01:40.292244,"243, 524",-0.87,103,"Gun, Black","Threatening, 3 seconds",Post,Spanish,Yes,8
You are a loser!,Offensive gesture,Harassment video,"15, Female, XYZ city","76, 69, 40",2024-01-27 09:01:40.292248,"409, 1167",-0.84,164,"Knife, Dark Blue","Verbal Abuse, 11 seconds",Post,French,No,3
You are a loser!,Insulting meme,Harassment video,"13, Female, XYZ city","137, 63, 22",2024-03-30 09:01:40.292252,"172, 1131",-0.58,176,"Gun, Green","Threatening, 9 seconds",Post,German,No,9
You are so dumb!,Offensive gesture,Bullying act,"14, Male, XYZ city","71, 62, 46",2024-05-07 09:01:40.292257,"411, 1616",-0.97,146,"Pointing Finger, Red","Verbal Abuse, 4 seconds",Comment,Spanish,Yes,3
Why don't you go away?,Offensive gesture,Harassment video,"13, Male, XYZ city","146, 75, 12",2024-03-03 09:01:40.292261,"185, 835",-0.77,158,"Middle Finger, Red","Punching, 10 seconds",Message,English,No,1
You are a loser!,Insulting meme,Bullying act,"13, Male, XYZ city","167, 38, 32",2024-01-08 09:01:40.292266,"463, 1446",-0.81,85,"Pointing Finger, Green","Threatening, 9 seconds",Message,German,Yes,2
I hate you so much!,Violent image,Harassment video,"13, Male, XYZ city","79, 58, 34",2023-10-01 09:01:40.292270,"217, 1722",-0.84,38,"Middle Finger, Green","Kicking, 10 seconds",Message,French,Yes,6
I hate you so much!,Offensive gesture,Intimidation video,"15, Female, XYZ city","177, 27, 25",2023-12-24 09:01:40.292274,"305, 1936",-0.86,170,"Pointing Finger, Red","Threatening, 5 seconds",Comment,German,No,2
You are so dumb!,Cyberbullying cartoon,Intimidation video,"13, Non-binary, XYZ city","121, 20, 14",2023-11-09 09:01:40.292279,"438, 1158",-0.95,199,"Middle Finger, Green","Verbal Abuse, 4 seconds",Post,Spanish,Yes,6
You are a loser!,Offensive gesture,Verbal abuse video,"15, Non-binary, XYZ city","52, 84, 13",2023-12-25 09:01:40.292283,"370, 1398",-0.84,126,"Gun, Green","Verbal Abuse, 10 seconds",Post,French,Yes,1
Why don't you go away?,Insulting meme,Intimidation video,"14, Male, XYZ city","153, 83, 43",2023-10-04 09:01:40.292288,"238, 1441",-0.98,24,"Knife, Black","Punching, 14 seconds",Comment,German,Yes,1
I hate you so much!,Insulting meme,Intimidation video,"16, Non-binary, XYZ city","59, 40, 48",2023-06-18 09:01:40.292292,"129, 556",-0.61,11,"Knife, Red","Kicking, 11 seconds",Comment,English,No,5
You are a loser!,Insulting meme,Intimidation video,"14, Non-binary, XYZ city","115, 60, 22",2023-07-26 09:01:40.292297,"331, 1157",-0.8,189,"Knife, Dark Blue","Verbal Abuse, 13 seconds",Message,French,Yes,9
You are a loser!,Violent image,Bullying act,"17, Non-binary, XYZ city","186, 55, 31",2024-04-18 09:01:40.292301,"483, 1059",-0.78,126,"Pointing Finger, Dark Blue","Threatening, 14 seconds",Message,English,No,8
You are so dumb!,Offensive gesture,Intimidation video,"15, Male, XYZ city","139, 77, 21",2024-03-13 09:01:40.292310,"293, 1033",-0.55,181,"Middle Finger, Red","Kicking, 6 seconds",Comment,Spanish,No,3
I hate you so much!,Violent image,Intimidation video,"17, Male, XYZ city","63, 53, 29",2023-09-08 09:01:40.292318,"105, 1215",-0.67,191,"Knife, Dark Blue","Verbal Abuse, 8 seconds",Message,German,No,3
I hate you so much!,Violent image,Verbal abuse video,"14, Male, XYZ city","124, 35, 40",2024-03-03 09:01:40.292326,"338, 684",-1.0,27,"Knife, Red","Punching, 8 seconds",Post,English,Yes,1
Why don't you go away?,Insulting meme,Intimidation video,"13, Non-binary, XYZ city","119, 75, 28",2024-01-09 09:01:40.292334,"459, 791",-0.53,12,"Gun, Red","Kicking, 11 seconds",Comment,Spanish,Yes,3
I hate you so much!,Insulting meme,Intimidation video,"16, Female, XYZ city","150, 77, 13",2023-06-29 09:01:40.292345,"434, 1231",-0.88,144,"Gun, Red","Kicking, 9 seconds",Comment,German,No,1
Why don't you go away?,Violent image,Harassment video,"15, Non-binary, XYZ city","160, 23, 29",2023-06-14 09:01:40.292349,"215, 1324",-0.95,180,"Middle Finger, Dark Blue","Threatening, 3 seconds",Post,Spanish,No,8
I hate you so much!,Offensive gesture,Verbal abuse video,"17, Male, XYZ city","187, 43, 44",2024-01-23 09:01:40.292354,"148, 1184",-0.62,175,"Gun, Dark Blue","Threatening, 9 seconds",Post,English,Yes,1
You are so dumb!,Cyberbullying cartoon,Verbal abuse video,"17, Female, XYZ city","86, 73, 49",2023-12-22 09:01:40.292358,"181, 1333",-0.75,174,"Gun, Green","Punching, 10 seconds",Post,Spanish,No,5
I hate you so much!,Violent image,Verbal abuse video,"13, Female, XYZ city","152, 40, 19",2024-06-02 09:01:40.292363,"432, 1056",-0.78,195,"Gun, Black","Threatening, 14 seconds",Message,French,No,9
Why don't you go away?,Offensive gesture,Verbal abuse video,"13, Non-binary, XYZ city","87, 65, 13",2023-10-28 09:01:40.292367,"434, 1031",-0.88,170,"Knife, Green","Verbal Abuse, 12 seconds",Comment,German,Yes,7
Why don't you go away?,Insulting meme,Verbal abuse video,"15, Female, XYZ city","106, 64, 29",2023-09-21 09:01:40.292372,"320, 1134",-0.73,117,"Middle Finger, Green","Verbal Abuse, 8 seconds",Message,Spanish,No,4
You are so dumb!,Insulting meme,Verbal abuse video,"13, Male, XYZ city","66, 90, 13",2023-10-08 09:01:40.292376,"333, 822",-0.86,196,"Knife, Green","Punching, 6 seconds",Post,English,Yes,9
I hate you so much!,Offensive gesture,Bullying act,"14, Non-binary, XYZ city","63, 22, 33",2023-10-09 09:01:40.292381,"438, 502",-0.55,104,"Middle Finger, Red","Verbal Abuse, 9 seconds",Message,German,Yes,9
I hate you so much!,Cyberbullying cartoon,Intimidation video,"14, Non-binary, XYZ city","129, 77, 13",2024-01-09 09:01:40.292385,"281, 705",-0.89,131,"Middle Finger, Red","Threatening, 7 seconds",Post,French,No,2
You are so dumb!,Insulting meme,Verbal abuse video,"13, Non-binary, XYZ city","169, 43, 43",2024-05-09 09:01:40.292390,"419, 539",-0.56,20,"Knife, Dark Blue","Punching, 3 seconds",Message,German,Yes,6
I hate you so much!,Insulting meme,Intimidation video,"14, Male, XYZ city","131, 38, 40",2024-02-04 09:01:40.292394,"158, 1450",-0.72,77,"Pointing Finger, Dark Blue","Kicking, 7 seconds",Message,French,Yes,4
I hate you so much!,Insulting meme,Intimidation video,"14, Non-binary, XYZ city","109, 38, 28",2024-01-04 09:01:40.292400,"161, 1143",-0.59,132,"Knife, Green","Punching, 5 seconds",Post,German,Yes,8
Why don't you go away?,Offensive gesture,Bullying act,"17, Non-binary, XYZ city","199, 43, 21",2024-03-15 09:01:40.292408,"159, 1342",-0.64,122,"Middle Finger, Black","Kicking, 4 seconds",Message,Spanish,No,7
I hate you so much!,Violent image,Verbal abuse video,"13, Non-binary, XYZ city","79, 77, 47",2024-03-11 09:01:40.292416,"221, 1118",-0.65,107,"Middle Finger, Dark Blue","Kicking, 6 seconds",Comment,Spanish,No,7
I hate you so much!,Insulting meme,Harassment video,"14, Non-binary, XYZ city","166, 50, 45",2023-07-21 09:01:40.292424,"195, 1937",-0.84,102,"Knife, Dark Blue","Threatening, 6 seconds",Message,English,No,9
You are so dumb!,Violent image,Bullying act,"17, Female, XYZ city","68, 67, 45",2023-10-15 09:01:40.292433,"334, 1397",-0.88,31,"Gun, Red","Threatening, 5 seconds",Message,French,Yes,5
You are so dumb!,Cyberbullying cartoon,Harassment video,"16, Non-binary, XYZ city","143, 74, 42",2023-07-25 09:01:40.292440,"161, 1779",-0.89,181,"Middle Finger, Dark Blue","Punching, 14 seconds",Comment,English,Yes,6
You are a loser!,Insulting meme,Intimidation video,"15, Female, XYZ city","195, 82, 37",2024-02-16 09:01:40.292445,"148, 1404",-0.57,136,"Pointing Finger, Green","Verbal Abuse, 11 seconds",Post,Spanish,No,1
Why don't you go away?,Insulting meme,Intimidation video,"15, Female, XYZ city","96, 94, 42",2024-03-10 09:01:40.292450,"447, 1170",-0.59,143,"Gun, Dark Blue","Threatening, 7 seconds",Comment,French,No,6
I hate you so much!,Cyberbullying cartoon,Bullying act,"13, Female, XYZ city","194, 89, 13",2024-01-01 09:01:40.292458,"223, 816",-0.78,179,"Gun, Black","Threatening, 13 seconds",Message,English,Yes,2
I hate you so much!,Insulting meme,Bullying act,"15, Male, XYZ city","197, 66, 36",2024-03-05 09:01:40.292466,"306, 1571",-0.93,34,"Gun, Green","Kicking, 4 seconds",Post,English,No,6
You are a loser!,Violent image,Harassment video,"14, Non-binary, XYZ city","192, 89, 23",2024-02-20 09:01:40.292477,"235, 1724",-0.81,194,"Pointing Finger, Dark Blue","Punching, 9 seconds",Message,English,No,9
I hate you so much!,Offensive gesture,Verbal abuse video,"17, Non-binary, XYZ city","173, 94, 48",2023-06-19 09:01:40.292481,"349, 813",-0.69,94,"Knife, Red","Kicking, 12 seconds",Message,English,No,8
Why don't you go away?,Violent image,Harassment video,"14, Non-binary, XYZ city","186, 35, 14",2024-03-13 09:01:40.292486,"456, 1891",-0.77,64,"Pointing Finger, Green","Punching, 9 seconds",Comment,English,No,9
You are a loser!,Offensive gesture,Bullying act,"16, Non-binary, XYZ city","110, 29, 12",2023-07-02 09:01:40.292490,"417, 1306",-0.61,153,"Gun, Red","Punching, 12 seconds",Comment,French,No,8
Why don't you go away?,Offensive gesture,Harassment video,"13, Male, XYZ city","156, 89, 26",2023-11-19 09:01:40.292495,"413, 1878",-0.5,104,"Knife, Red","Kicking, 12 seconds",Post,English,Yes,3
You are a loser!,Violent image,Bullying act,"13, Male, XYZ city","158, 70, 28",2024-05-26 09:01:40.292499,"310, 543",-0.9,151,"Middle Finger, Black","Kicking, 13 seconds",Post,French,No,8
You are a loser!,Violent image,Harassment video,"14, Male, XYZ city","84, 65, 35",2023-09-12 09:01:40.292504,"128, 1070",-0.77,176,"Knife, Green","Threatening, 5 seconds",Post,English,No,6
You are so dumb!,Violent image,Bullying act,"17, Female, XYZ city","118, 83, 46",2023-12-22 09:01:40.292508,"170, 1615",-0.78,165,"Knife, Black","Punching, 10 seconds",Message,Spanish,Yes,6
Why don't you go away?,Violent image,Bullying act,"16, Female, XYZ city","98, 40, 19",2024-02-17 09:01:40.292513,"364, 1394",-0.85,188,"Gun, Black","Punching, 14 seconds",Comment,Spanish,Yes,6
I hate you so much!,Cyberbullying cartoon,Bullying act,"14, Non-binary, XYZ city","54, 89, 35",2023-06-29 09:01:40.292518,"319, 1424",-0.9,128,"Gun, Black","Punching, 9 seconds",Comment,English,Yes,3
I hate you so much!,Insulting meme,Verbal abuse video,"15, Female, XYZ city","53, 58, 44",2023-12-14 09:01:40.292522,"499, 1226",-0.97,186,"Gun, Green","Kicking, 7 seconds",Comment,German,Yes,1
Why don't you go away?,Offensive gesture,Harassment video,"14, Female, XYZ city","178, 43, 45",2024-03-13 09:01:40.292527,"486, 1357",-0.56,18,"Gun, Green","Kicking, 7 seconds",Post,Spanish,No,4
I hate you so much!,Violent image,Harassment video,"15, Non-binary, XYZ city","119, 60, 40",2024-03-22 09:01:40.292531,"391, 989",-0.79,195,"Pointing Finger, Black","Punching, 11 seconds",Comment,French,No,6
I hate you so much!,Violent image,Harassment video,"17, Male, XYZ city","133, 43, 34",2023-07-24 09:01:40.292535,"344, 1993",-0.75,182,"Middle Finger, Dark Blue","Punching, 7 seconds",Comment,English,No,2
Why don't you go away?,Violent image,Bullying act,"14, Non-binary, XYZ city","85, 49, 33",2024-02-19 09:01:40.292540,"161, 1437",-0.54,159,"Gun, Green","Kicking, 11 seconds",Comment,French,No,7
You are a loser!,Cyberbullying cartoon,Harassment video,"15, Non-binary, XYZ city","157, 49, 31",2023-09-29 09:01:40.292544,"431, 1968",-0.61,169,"Middle Finger, Dark Blue","Kicking, 6 seconds",Post,German,Yes,7
Why don't you go away?,Violent image,Harassment video,"16, Male, XYZ city","184, 54, 37",2024-04-15 09:01:40.292549,"368, 766",-0.93,51,"Gun, Green","Punching, 10 seconds",Comment,English,Yes,4
You are a loser!,Violent image,Bullying act,"13, Male, XYZ city","63, 29, 25",2024-01-10 09:01:40.292553,"153, 1027",-0.72,62,"Gun, Red","Kicking, 13 seconds",Post,Spanish,No,4
I hate you so much!,Violent image,Intimidation video,"17, Male, XYZ city","193, 73, 40",2023-06-13 09:01:40.292557,"107, 1115",-0.78,196,"Pointing Finger, Green","Verbal Abuse, 5 seconds",Comment,French,No,1
I hate you so much!,Insulting meme,Bullying act,"16, Non-binary, XYZ city","155, 96, 15",2024-02-17 09:01:40.292562,"158, 1563",-0.6,83,"Knife, Dark Blue","Threatening, 4 seconds",Comment,Spanish,No,2
I hate you so much!,Cyberbullying cartoon,Harassment video,"13, Female, XYZ city","93, 92, 45",2023-07-05 09:01:40.292566,"336, 1454",-0.64,48,"Gun, Black","Punching, 10 seconds",Comment,Spanish,No,9
You are so dumb!,Violent image,Bullying act,"13, Non-binary, XYZ city","156, 76, 30",2023-09-20 09:01:40.292571,"485, 1233",-0.65,131,"Knife, Red","Punching, 13 seconds",Post,English,Yes,8
You are a loser!,Offensive gesture,Intimidation video,"16, Male, XYZ city","56, 89, 24",2023-08-02 09:01:40.292575,"303, 1149",-0.83,24,"Gun, Green","Punching, 6 seconds",Post,French,No,8
You are so dumb!,Offensive gesture,Bullying act,"13, Female, XYZ city","197, 34, 16",2023-11-22 09:01:40.292580,"399, 894",-0.6,166,"Knife, Black","Kicking, 14 seconds",Comment,German,Yes,9
You are so dumb!,Offensive gesture,Harassment video,"13, Non-binary, XYZ city","198, 61, 35",2024-05-02 09:01:40.292584,"306, 1859",-0.97,132,"Middle Finger, Dark Blue","Kicking, 8 seconds",Message,Spanish,Yes,7
Why don't you go away?,Cyberbullying cartoon,Intimidation video,"17, Female, XYZ city","169, 33, 46",2024-02-28 09:01:40.292588,"180, 1013",-0.92,120,"Gun, Black","Punching, 3 seconds",Post,English,Yes,9
You are so dumb!,Cyberbullying cartoon,Verbal abuse video,"14, Female, XYZ city","107, 40, 27",2023-12-02 09:01:40.292593,"277, 895",-0.83,140,"Pointing Finger, Black","Verbal Abuse, 12 seconds",Post,English,Yes,2
Why don't you go away?,Offensive gesture,Harassment video,"17, Male, XYZ city","118, 22, 32",2023-09-08 09:01:40.292597,"470, 1357",-0.96,92,"Gun, Dark Blue","Verbal Abuse, 7 seconds",Comment,German,No,6
Why don't you go away?,Violent image,Intimidation video,"13, Male, XYZ city","98, 38, 34",2023-06-24 09:01:40.292602,"378, 1157",-0.88,19,"Pointing Finger, Dark Blue","Threatening, 10 seconds",Message,English,No,3
You are so dumb!,Cyberbullying cartoon,Intimidation video,"13, Non-binary, XYZ city","134, 31, 42",2023-10-19 09:01:40.292606,"417, 1235",-0.58,101,"Middle Finger, Green","Kicking, 9 seconds",Comment,Spanish,No,6
You are a loser!,Offensive gesture,Verbal abuse video,"13, Male, XYZ city","166, 87, 16",2023-11-04 09:01:40.292611,"468, 883",-0.53,38,"Pointing Finger, Red","Threatening, 6 seconds",Post,English,No,3
You are a loser!,Offensive gesture,Bullying act,"16, Non-binary, XYZ city","135, 52, 26",2024-04-05 09:01:40.292615,"161, 1004",-0.85,44,"Gun, Red","Kicking, 8 seconds",Post,French,Yes,8
You are a loser!,Violent image,Bullying act,"14, Male, XYZ city","110, 80, 43",2023-11-28 09:01:40.292620,"338, 694",-0.87,15,"Knife, Dark Blue","Punching, 14 seconds",Comment,French,Yes,4
You are a loser!,Insulting meme,Harassment video,"17, Male, XYZ city","77, 77, 48",2023-09-30 09:01:40.292624,"265, 1745",-0.86,149,"Pointing Finger, Black","Punching, 10 seconds",Comment,Spanish,Yes,6
You are a loser!,Cyberbullying cartoon,Verbal abuse video,"15, Female, XYZ city","135, 68, 26",2024-01-25 09:01:40.292629,"160, 1652",-0.86,120,"Middle Finger, Black","Punching, 4 seconds",Message,French,No,9
You are so dumb!,Violent image,Bullying act,"15, Female, XYZ city","147, 89, 15",2023-08-05 09:01:40.292633,"272, 655",-0.98,47,"Gun, Black","Verbal Abuse, 8 seconds",Message,German,Yes,2
You are so dumb!,Offensive gesture,Verbal abuse video,"17, Female, XYZ city","147, 84, 19",2024-01-15 09:01:40.292639,"477, 1422",-0.54,86,"Knife, Black","Punching, 5 seconds",Post,English,Yes,2
I hate you so much!,Offensive gesture,Bullying act,"13, Non-binary, XYZ city","134, 24, 11",2024-03-05 09:01:40.292647,"455, 1402",-0.89,102,"Pointing Finger, Black","Threatening, 3 seconds",Message,Spanish,Yes,7
You are a loser!,Violent image,Intimidation video,"16, Non-binary, XYZ city","71, 76, 11",2024-03-28 09:01:40.292655,"377, 1498",-0.79,156,"Gun, Green","Punching, 5 seconds",Message,German,Yes,2
You are so dumb!,Cyberbullying cartoon,Bullying act,"16, Male, XYZ city","123, 35, 48",2023-09-04 09:01:40.292663,"306, 887",-1.0,76,"Knife, Green","Kicking, 7 seconds",Post,English,No,2
I hate you so much!,Insulting meme,Verbal abuse video,"17, Non-binary, XYZ city","135, 95, 33",2024-02-24 09:01:40.292671,"378, 1386",-0.57,145,"Middle Finger, Dark Blue","Verbal Abuse, 11 seconds",Post,German,Yes,4
You are a loser!,Insulting meme,Intimidation video,"17, Female, XYZ city","87, 79, 19",2023-12-07 09:01:40.292679,"425, 1863",-0.63,17,"Gun, Red","Threatening, 5 seconds",Post,Spanish,Yes,9
Why don't you go away?,Offensive gesture,Intimidation video,"14, Non-binary, XYZ city","148, 83, 41",2023-11-26 09:01:40.292693,"456, 839",-0.53,131,"Middle Finger, Red","Punching, 8 seconds",Post,Spanish,No,8
I hate you so much!,Cyberbullying cartoon,Intimidation video,"14, Male, XYZ city","184, 40, 29",2023-08-14 09:01:40.292700,"303, 660",-0.61,93,"Gun, Green","Punching, 9 seconds",Comment,German,No,2
You are so dumb!,Insulting meme,Verbal abuse video,"14, Male, XYZ city","176, 87, 31",2023-07-21 09:01:40.292704,"127, 891",-0.84,184,"Knife, Black","Threatening, 6 seconds",Post,English,No,8
Why don't you go away?,Cyberbullying cartoon,Harassment video,"13, Female, XYZ city","192, 98, 31",2024-01-10 09:01:40.292709,"356, 1074",-0.88,141,"Gun, Dark Blue","Threatening, 4 seconds",Post,French,Yes,4
Why don't you go away?,Cyberbullying cartoon,Harassment video,"15, Female, XYZ city","165, 33, 36",2024-05-03 09:01:40.292713,"121, 1593",-0.65,188,"Gun, Black","Punching, 10 seconds",Post,French,Yes,2
Why don't you go away?,Offensive gesture,Harassment video,"17, Male, XYZ city","174, 59, 37",2024-01-31 09:01:40.292718,"480, 904",-0.82,94,"Gun, Red","Verbal Abuse, 9 seconds",Message,German,Yes,7
I hate you so much!,Insulting meme,Verbal abuse video,"13, Male, XYZ city","75, 82, 11",2024-02-01 09:01:40.292722,"195, 1327",-0.72,54,"Gun, Green","Kicking, 5 seconds",Post,Spanish,Yes,6
You are so dumb!,Violent image,Intimidation video,"15, Female, XYZ city","180, 91, 42",2023-09-07 09:01:40.292727,"219, 1189",-1.0,145,"Middle Finger, Red","Punching, 3 seconds",Comment,English,No,5
Why don't you go away?,Offensive gesture,Harassment video,"13, Male, XYZ city","91, 25, 48",2023-06-16 09:01:40.292731,"275, 1401",-0.97,96,"Middle Finger, Green","Verbal Abuse, 11 seconds",Comment,English,Yes,1
You are a loser!,Insulting meme,Verbal abuse video,"15, Female, XYZ city","72, 69, 28",2024-03-20 09:01:40.292736,"316, 555",-0.73,25,"Pointing Finger, Green","Punching, 4 seconds",Post,Spanish,Yes,2
Why don't you go away?,Insulting meme,Harassment video,"15, Female, XYZ city","100, 30, 21",2023-10-14 09:01:40.292742,"465, 954",-0.72,86,"Middle Finger, Dark Blue","Verbal Abuse, 5 seconds",Comment,French,No,8
Why don't you go away?,Insulting meme,Bullying act,"14, Female, XYZ city","123, 27, 33",2024-02-17 09:01:40.292750,"203, 576",-0.62,18,"Middle Finger, Black","Threatening, 9 seconds",Message,English,No,1
I hate you so much!,Insulting meme,Harassment video,"13, Non-binary, XYZ city","90, 55, 46",2024-02-24 09:01:40.292758,"329, 1781",-0.93,69,"Knife, Dark Blue","Kicking, 12 seconds",Post,German,No,3
